iter	Logloss
0	0.6895784868
1	0.6861660084
2	0.6831751576
3	0.6789176822
4	0.6756531151
5	0.6719420222
6	0.6679661548
7	0.6649237837
8	0.6612199541
9	0.6580785481
10	0.6538777701
11	0.6506110352
12	0.6473059917
13	0.644685208
14	0.6418415906
15	0.6386319708
16	0.6355352994
17	0.6330834976
18	0.6303605331
19	0.6275777901
20	0.6255871101
21	0.622331835
22	0.6192130022
23	0.6159568422
24	0.6137331128
25	0.6109046141
26	0.6085005125
27	0.6059868442
28	0.6029273916
29	0.6005595302
30	0.5978982635
31	0.5954534159
32	0.5931476486
33	0.5909650017
34	0.5883115008
35	0.5862657275
36	0.5839043073
37	0.5816526251
38	0.5788793653
39	0.5762258878
40	0.5737905807
41	0.5719145812
42	0.5693177986
43	0.5672791032
44	0.5646208119
45	0.5626274758
46	0.560872315
47	0.5587027639
48	0.5569111399
49	0.5547784774
50	0.5532565376
51	0.5512977924
52	0.549549206
53	0.5473126566
54	0.5449459163
55	0.5430085083
56	0.5408129287
57	0.5385027899
58	0.5367061104
59	0.5348304202
60	0.5331997571
61	0.5315892913
62	0.5296283097
63	0.5280555133
64	0.5262804655
65	0.5247132313
66	0.5230646963
67	0.5214124973
68	0.5199643756
69	0.5184223215
70	0.5165279762
71	0.5151502314
72	0.5135374034
73	0.5121769735
74	0.5110330455
75	0.5095761209
76	0.5081044662
77	0.5067666945
78	0.5050451475
79	0.503292551
80	0.5021199887
81	0.5006826547
82	0.4991793761
83	0.4981961009
84	0.4969193936
85	0.4957468061
86	0.4946833324
87	0.4934958846
88	0.4920871349
89	0.4905921307
90	0.4893720069
91	0.4880607134
92	0.4869905232
93	0.4855373238
94	0.4844774244
95	0.4834754183
96	0.4821091259
97	0.4811444161
98	0.4795784824
99	0.4780732152
100	0.4770038281
101	0.4760771537
102	0.4748125006
103	0.4739978457
104	0.4727482579
105	0.471632092
106	0.4704419179
107	0.4695784686
108	0.4685181607
109	0.4673483698
110	0.46609124
111	0.4651322556
112	0.4640651481
113	0.4631231638
114	0.4619883476
115	0.4612491849
116	0.4603453614
117	0.4591630979
118	0.458405036
119	0.4574033001
120	0.4566085135
121	0.4559278001
122	0.4553769541
123	0.4544393298
124	0.4534689517
125	0.4525027204
126	0.4513153846
127	0.4506196054
128	0.4497308403
129	0.4490457566
130	0.4483100425
131	0.447259313
132	0.4466556423
133	0.4455275937
134	0.4448418334
135	0.4438702869
136	0.4429218295
137	0.4423244576
138	0.4417782603
139	0.4410221572
140	0.4404587088
141	0.4399042608
142	0.4390123958
143	0.4383324657
144	0.4373277338
145	0.4364938992
146	0.4357499311
147	0.435145931
148	0.4341399848
149	0.4330962955
150	0.4322779475
151	0.4313668317
152	0.430783153
153	0.4300669687
154	0.4295236944
155	0.4289099063
156	0.4281177863
157	0.4272894807
158	0.4264815172
159	0.4257482654
160	0.4250398917
161	0.4244600586
162	0.4237060686
163	0.4233407808
164	0.4226841295
165	0.4220238214
166	0.421486871
167	0.4210447187
168	0.4205730448
169	0.4197173536
170	0.4189299088
171	0.4182991166
172	0.4177867648
173	0.4174915396
174	0.4168826671
175	0.4161106055
176	0.4153158515
177	0.414736319
178	0.4140873724
179	0.4133692908
180	0.4128247102
181	0.4122917958
182	0.4117160904
183	0.4110193598
184	0.4104018621
185	0.4096655834
186	0.4092446054
187	0.4085612314
188	0.4080428294
189	0.4074773783
190	0.4068106628
191	0.4060886077
192	0.4054976216
193	0.404854599
194	0.4044182554
195	0.4036880799
196	0.403162172
197	0.4025280335
198	0.4019025466
199	0.4012618653
200	0.4005526134
201	0.4001350935
202	0.3998383477
203	0.3991721949
204	0.3987001381
205	0.3980881058
206	0.3974095339
207	0.3968470349
208	0.3965978344
209	0.3963406324
210	0.3957804848
211	0.3953272657
212	0.3946246251
213	0.3941488486
214	0.3937843154
215	0.3933085535
216	0.3926108995
217	0.3919610211
218	0.3916547685
219	0.391207403
220	0.3907504706
221	0.3901434297
222	0.3897889533
223	0.3893688468
224	0.3891557353
225	0.3888065144
226	0.3883172405
227	0.387691557
228	0.3872766622
229	0.3868409488
230	0.3862045047
231	0.3855716596
232	0.3852365395
233	0.3847572291
234	0.384467345
235	0.3841267668
236	0.3839178832
237	0.3835721507
238	0.3830170106
239	0.3825125824
240	0.3819444608
241	0.3813888907
242	0.3809420772
243	0.3806196052
244	0.3801959739
245	0.3799227817
246	0.3795620729
247	0.3789876137
248	0.3784901596
249	0.3780232102
250	0.3774226545
251	0.3768093462
252	0.3764778556
253	0.3758096216
254	0.3754491195
255	0.3750506331
256	0.3747594456
257	0.3740253237
258	0.373687404
259	0.3732989233
260	0.3726258959
261	0.3720648236
262	0.371759185
263	0.371586323
264	0.3712928487
265	0.3707263532
266	0.370253973
267	0.3698439193
268	0.3694975975
269	0.369183625
270	0.3687022672
271	0.3683609701
272	0.367910126
273	0.3673502558
274	0.3671317573
275	0.3667845177
276	0.3663227546
277	0.3660703829
278	0.365561155
279	0.3652243523
280	0.3648434081
281	0.3642480279
282	0.36388944
283	0.3635026379
284	0.3631727619
285	0.3628520788
286	0.3625149907
287	0.3620935481
288	0.3616315938
289	0.3614762184
290	0.3612035136
291	0.3609565176
292	0.3607367589
293	0.360361881
294	0.360063608
295	0.3598920484
296	0.3596534354
297	0.3593127972
298	0.3590068086
299	0.3586299157
300	0.3582734679
301	0.3578861513
302	0.3576291599
303	0.3572469139
304	0.3568576272
305	0.3566309942
306	0.3561870271
307	0.3558566411
308	0.3556917829
309	0.3552968258
310	0.3549402714
311	0.3547936876
312	0.3544227713
313	0.3541932345
314	0.3539767022
315	0.3536337906
316	0.3532412452
317	0.3529154943
318	0.3523919534
319	0.3519370709
320	0.3516153609
321	0.3511060817
322	0.3507267055
323	0.3502005424
324	0.3497453767
325	0.3495789812
326	0.3492441017
327	0.348976527
328	0.3486583396
329	0.3483344455
330	0.347879707
331	0.3473531886
332	0.3468741351
333	0.3465437633
334	0.3461658274
335	0.3458609361
336	0.3453516392
337	0.3451231687
338	0.3447685867
339	0.3444402758
340	0.3440389128
341	0.3435865435
342	0.3431496436
343	0.3428704584
344	0.3423871554
345	0.3420498134
346	0.3417637792
347	0.3413074264
348	0.3411127758
349	0.3408297385
350	0.3406174154
351	0.3403415812
352	0.3400320871
353	0.3397102201
354	0.339359607
355	0.3390099541
356	0.3388418884
357	0.3385983217
358	0.3381973038
359	0.3380239607
360	0.3376848515
361	0.3373750418
362	0.3367869711
363	0.3365163327
364	0.3360718469
365	0.3358593398
366	0.3356815772
367	0.3354348532
368	0.3350378534
369	0.3347590948
370	0.3344981059
371	0.3344041801
372	0.3339676795
373	0.3334817039
374	0.3332326083
375	0.33289714
376	0.3324643387
377	0.3319419565
378	0.3315077916
379	0.3312120978
380	0.3308511699
381	0.3304480818
382	0.330229683
383	0.3299435332
384	0.3297263536
385	0.3295590044
386	0.3292667132
387	0.3289366107
388	0.3286152982
389	0.3282177035
390	0.327974441
391	0.327757105
392	0.3274223428
393	0.3272049655
394	0.3269175858
395	0.3263834487
396	0.3259995839
397	0.3256444306
398	0.3254273593
399	0.3249670831
400	0.3245433935
401	0.3242733818
402	0.3240451633
403	0.3237880762
404	0.3236284028
405	0.3233090348
406	0.3230589751
407	0.3226936254
408	0.3223349566
409	0.3218563557
410	0.321430991
411	0.3209599965
412	0.3206112608
413	0.3203495001
414	0.3199896881
415	0.3197953367
416	0.3194536421
417	0.3190725
418	0.3186939716
419	0.3185139373
420	0.3183717289
421	0.3180125124
422	0.3177698175
423	0.31756138
424	0.3171261573
425	0.3167176872
426	0.3164255671
427	0.316261438
428	0.3160616543
429	0.3158529109
430	0.3155805034
431	0.315330736
432	0.3150292554
433	0.314749566
434	0.3144885782
435	0.3140928285
436	0.3138122077
437	0.3135087314
438	0.3132451407
439	0.3129917378
440	0.312684844
441	0.312449384
442	0.3122314132
443	0.312032925
444	0.3117612492
445	0.3116050289
446	0.3113414092
447	0.3108487144
448	0.3105237822
449	0.3103156202
450	0.3100970119
451	0.3099410933
452	0.309794197
453	0.309623988
