iter	Passed	Remaining
0	153	153395
1	159	79660
2	165	54931
3	172	42839
4	178	35452
5	186	30977
6	191	27141
7	197	24474
8	201	22148
9	207	20553
10	215	19412
11	223	18414
12	229	17451
13	236	16641
14	241	15827
15	249	15336
16	255	14772
17	261	14273
18	264	13682
19	272	13342
20	277	12930
21	288	12826
22	294	12514
23	309	12573
24	314	12276
25	324	12163
26	331	11954
27	340	11811
28	345	11576
29	350	11348
30	356	11155
31	363	10992
32	367	10761
33	372	10596
34	381	10504
35	388	10393
36	394	10262
37	400	10127
38	405	9995
39	410	9840
40	413	9676
41	418	9534
42	426	9492
43	431	9381
44	433	9204
45	441	9152
46	446	9047
47	453	8990
48	456	8858
49	464	8827
50	473	8801
51	478	8714
52	484	8654
53	491	8604
54	500	8594
55	508	8566
56	517	8555
57	523	8505
58	532	8491
59	536	8411
60	543	8373
61	549	8309
62	557	8284
63	563	8233
64	570	8211
65	574	8127
66	579	8074
67	582	7986
68	585	7894
69	588	7812
70	593	7765
71	603	7780
72	610	7748
73	620	7763
74	625	7710
75	629	7651
76	634	7608
77	639	7564
78	646	7537
79	659	7589
80	664	7541
81	670	7510
82	677	7489
83	684	7467
84	690	7432
85	696	7403
86	703	7383
87	712	7379
88	718	7352
89	724	7321
90	730	7301
91	736	7264
92	743	7254
93	752	7256
94	764	7278
95	772	7273
96	784	7303
97	792	7295
98	800	7289
99	812	7312
100	817	7272
101	824	7261
102	831	7242
103	837	7217
104	841	7173
105	845	7127
106	850	7097
107	855	7062
108	865	7071
109	872	7059
110	880	7052
111	884	7009
112	890	6989
113	900	7001
114	906	6977
115	913	6964
116	920	6945
117	927	6932
118	933	6914
119	939	6890
120	947	6881
121	954	6867
122	964	6879
123	972	6868
124	983	6881
125	988	6854
126	994	6838
127	999	6806
128	1004	6785
129	1009	6756
130	1016	6742
131	1022	6726
132	1029	6712
133	1035	6695
134	1040	6669
135	1049	6666
136	1054	6640
137	1058	6612
138	1064	6596
139	1072	6587
140	1078	6571
141	1085	6556
142	1094	6561
143	1100	6539
144	1113	6566
145	1125	6580
146	1132	6573
147	1136	6541
148	1144	6537
149	1152	6529
150	1157	6509
151	1166	6506
152	1172	6490
153	1178	6476
154	1188	6479
155	1197	6479
156	1208	6489
157	1216	6485
158	1224	6477
159	1232	6472
160	1235	6436
161	1241	6424
162	1254	6439
163	1259	6418
164	1265	6405
165	1270	6382
166	1276	6364
167	1281	6347
